ab_PSNR_full,file,frame,method
44.3079618,scooter-gray/00001.png,1.0,mm1
42.2156344,scooter-gray/00002.png,2.0,mm1
41.2101154,scooter-gray/00003.png,3.0,mm1
40.1506747,scooter-gray/00004.png,4.0,mm1
39.2231612,scooter-gray/00005.png,5.0,mm1
38.8062742,scooter-gray/00006.png,6.0,mm1
38.6679723,scooter-gray/00007.png,7.0,mm1
38.5297083,scooter-gray/00008.png,8.0,mm1
37.9696590,scooter-gray/00009.png,9.0,mm1
37.7601533,scooter-gray/00010.png,10.0,mm1
37.3045702,scooter-gray/00011.png,11.0,mm1
37.2203296,scooter-gray/00012.png,12.0,mm1
37.1033278,scooter-gray/00013.png,13.0,mm1
36.8233348,scooter-gray/00014.png,14.0,mm1
36.6399813,scooter-gray/00015.png,15.0,mm1
36.2880222,scooter-gray/00016.png,16.0,mm1
35.9749609,scooter-gray/00017.png,17.0,mm1
35.9285029,scooter-gray/00018.png,18.0,mm1
35.8773456,scooter-gray/00019.png,19.0,mm1
35.4712057,scooter-gray/00020.png,20.0,mm1
35.3129007,scooter-gray/00021.png,21.0,mm1
35.3236950,scooter-gray/00022.png,22.0,mm1
35.0170194,scooter-gray/00023.png,23.0,mm1
35.0817504,scooter-gray/00024.png,24.0,mm1